Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,8.380000,8.430000,8.260000,8.410000,7.301424,12999400
2016-07-19,8.410000,8.455000,8.320000,8.325000,7.227628,9434600
2016-07-20,8.385000,8.425000,8.300000,8.375000,7.271038,8404800
2016-07-21,8.355000,8.370000,8.275000,8.310000,7.214606,9971200
2016-07-22,8.315000,8.335000,8.250000,8.285000,7.192901,8357400
2016-07-25,8.330000,8.345000,8.260000,8.345000,7.244992,6885200
2016-07-26,8.380000,8.445000,8.350000,8.375000,7.271038,8168200
2016-07-27,8.405000,8.410000,8.320000,8.350000,7.249333,5349600
2016-07-28,8.340000,8.340000,8.270000,8.295000,7.201583,5958200
2016-07-29,8.325000,8.355000,8.155000,8.215000,7.132129,9730400
2016-08-01,8.300000,8.320000,8.245000,8.285000,7.192901,7653800
2016-08-02,8.320000,8.320000,8.150000,8.195000,7.114764,7448800
2016-08-03,8.185000,8.220000,8.150000,8.175000,7.097401,10643600
2016-08-04,8.140000,8.170000,8.045000,8.045000,6.984536,14055600
2016-08-05,8.050000,8.165000,8.020000,8.125000,7.053991,15948400
2016-08-08,8.140000,8.170000,8.125000,8.135000,7.062674,13707800
2016-08-09,8.160000,8.220000,8.160000,8.180000,7.101742,10186000
2016-08-10,8.175000,8.270000,8.165000,8.255000,7.166854,8715800
2016-08-11,8.190000,8.255000,8.165000,8.215000,7.132129,9993400
2016-08-12,8.140000,8.145000,8.015000,8.070000,7.006241,10573400
2016-08-15,7.940000,8.135000,7.925000,8.100000,7.032287,10584800
2016-08-16,8.035000,8.055000,7.940000,7.975000,6.923763,11482400
2016-08-17,7.920000,7.975000,7.910000,7.960000,6.910741,9500600
2016-08-18,7.885000,7.950000,7.825000,7.940000,6.893377,13126200
2016-08-19,7.885000,7.970000,7.880000,7.950000,6.902060,6007600
2016-08-22,7.855000,7.905000,7.820000,7.900000,6.858650,8803000
2016-08-23,7.980000,8.290000,7.970000,8.270000,7.179879,17232600
2016-08-24,8.220000,8.260000,8.160000,8.195000,7.114764,13101400
2016-08-25,8.130000,8.145000,7.995000,8.025000,6.967172,14880000
2016-08-26,7.990000,8.020000,7.895000,7.950000,6.902060,9020400
2016-08-29,7.945000,7.960000,7.860000,7.875000,6.836945,9193200
2016-08-30,8.050000,8.055000,7.910000,7.930000,6.884695,9292000
2016-08-31,7.970000,7.990000,7.880000,7.930000,6.884695,9324400
2016-09-01,7.950000,8.065000,7.945000,8.050000,6.988877,9199600
2016-09-02,8.015000,8.165000,8.015000,8.150000,7.075696,10940800
2016-09-06,8.160000,8.250000,8.160000,8.220000,7.136468,9827600
2016-09-07,8.250000,8.285000,8.215000,8.220000,7.136468,11382400
2016-09-08,8.115000,8.120000,7.940000,8.045000,6.984536,18985000
2016-09-09,8.025000,8.095000,7.980000,8.035000,6.975855,12184800
2016-09-12,8.135000,8.215000,8.040000,8.190000,7.110423,7500000
2016-09-13,8.115000,8.130000,7.985000,8.030000,6.971515,7920000
2016-09-14,8.000000,8.035000,7.930000,7.975000,6.923763,9170400
2016-09-15,7.970000,8.135000,7.960000,8.020000,6.962832,7804400
2016-09-16,8.035000,8.125000,8.000000,8.035000,6.975855,11935000
2016-09-19,8.120000,8.130000,8.030000,8.065000,7.001899,5823600
2016-09-20,8.065000,8.090000,8.005000,8.025000,6.967172,4990000
2016-09-21,8.060000,8.100000,7.975000,8.065000,7.001899,7828600
2016-09-22,8.100000,8.150000,8.090000,8.125000,7.053991,4966600
2016-09-23,8.050000,8.065000,7.975000,7.980000,6.928103,6132600
2016-09-26,7.935000,7.960000,7.880000,7.935000,6.889036,3546200
2016-09-27,7.955000,8.015000,7.940000,7.955000,6.906399,5603400
2016-09-28,7.960000,7.985000,7.885000,7.945000,6.897718,10841000
2016-09-29,7.935000,8.060000,7.905000,7.935000,6.889036,11811800
2016-09-30,7.955000,7.985000,7.880000,7.890000,6.849967,10281600
2016-10-03,7.915000,8.000000,7.905000,7.980000,6.928103,5858800
2016-10-04,8.020000,8.110000,7.970000,7.975000,6.923763,6295800
2016-10-05,7.980000,8.015000,7.915000,7.980000,6.928103,3181400
2016-10-06,7.895000,7.940000,7.865000,7.880000,6.841286,4788400
2016-10-07,7.840000,7.840000,7.740000,7.800000,6.771832,9547000
2016-10-10,7.885000,7.990000,7.880000,7.935000,6.889036,6490000
2016-10-11,7.910000,7.925000,7.830000,7.850000,6.815240,6688400
2016-10-12,7.865000,7.970000,7.855000,7.965000,6.915082,6485400
2016-10-13,8.015000,8.355000,7.990000,8.325000,7.227628,20842400
2016-10-14,7.995000,8.020000,7.755000,7.830000,6.797876,39789400
2016-10-17,7.845000,7.915000,7.825000,7.850000,6.815240,13968600
2016-10-18,7.990000,7.990000,7.930000,7.955000,6.906399,8038200
2016-10-19,7.950000,8.005000,7.920000,7.920000,6.948071,6949600
2016-10-20,7.910000,7.910000,7.790000,7.870000,6.904207,8119200
2016-10-21,7.930000,7.995000,7.890000,7.935000,6.961229,6677800
2016-10-24,7.945000,8.035000,7.920000,7.995000,7.013867,9311200
2016-10-25,7.885000,7.895000,7.805000,7.845000,6.882274,8141400
2016-10-26,7.830000,7.845000,7.785000,7.810000,6.851569,7877600
2016-10-27,7.805000,7.805000,7.675000,7.680000,6.737524,5230000
2016-10-28,7.685000,7.740000,7.620000,7.645000,6.706819,10002600
2016-10-31,7.655000,7.690000,7.595000,7.630000,6.693659,8316000
